product_1,product_2,lift,confidence,support,count
11400099.0,11500445.0,35920.714285714275,4.999999999999999,0.0004971266082045775,25.0
29501661.0,29501872.0,31430.625000000007,2.5000000000000004,0.00039770128656366205,20.0
50300160.0,50300160.0,23887.274999999998,9.5,0.0037781622223547894,190.0
4803779.0,4803779.0,22001.437500000004,3.5000000000000004,0.0005567818011891269,28.0
30900350.0,30900350.0,21552.428571428572,3.0,0.00041758635089184516,21.0
32801103.0,32801103.0,20953.75,2.5000000000000004,0.00029827596492274655,15.0
12713431.0,12713431.0,20953.75,2.5000000000000004,0.00029827596492274655,15.0
12712095.0,12712095.0,20953.75,2.5000000000000004,0.00029827596492274655,15.0
4802403.0,4802403.0,20115.6,2.0,0.00019885064328183102,10.0
5301095.0,5301095.0,20115.6,2.0,0.00019885064328183102,10.0
13300870.0,13300870.0,20115.6,2.0,0.00019885064328183102,10.0
19100330.0,19100330.0,20115.6,2.0,0.00019885064328183102,10.0
11500445.0,11500445.0,20115.6,2.0,0.00019885064328183102,10.0
7100836.0,7100836.0,20115.6,2.0,0.00019885064328183102,10.0
1307080.0,1307080.0,20115.6,2.0,0.00019885064328183102,10.0
26200298.0,26200298.0,20115.6,2.0,0.00019885064328183102,10.0
2300244.0,2300244.0,20115.6,2.0,0.00019885064328183102,10.0
1201378.0,1201378.0,20115.6,2.0,0.00019885064328183102,10.0
8500420.0,8500420.0,20115.6,2.0,0.00019885064328183102,10.0
12704971.0,12720093.0,16763.0,2.0,0.00023862077193819722,12.0
12300181.0,12300181.0,16520.55991735537,7.2272727272727275,0.003161725228181113,159.0
14100002.0,14100002.0,16501.078125000004,2.6250000000000004,0.00041758635089184516,21.0
8500288.0,8500288.0,15394.591836734695,2.142857142857143,0.00029827596492274655,15.0
1201171.0,1201171.0,15394.591836734695,2.142857142857143,0.00029827596492274655,15.0
12719457.0,12719457.0,14962.01652892562,3.272727272727273,0.0007158623158145917,36.0
30000133.0,30000133.0,14368.285714285714,4.0,0.0011135636023782538,56.0
5801690.0,5801690.0,14080.919999999998,2.8000000000000003,0.0005567818011891269,28.0
42400048.0,42400048.0,13969.166666666668,1.6666666666666667,0.00019885064328183102,10.0
12710101.0,12710101.0,13969.166666666668,1.6666666666666667,0.00019885064328183102,10.0
5000118.0,5000118.0,13969.166666666668,1.6666666666666667,0.00019885064328183102,10.0
4100301.0,4100301.0,13969.166666666668,1.6666666666666667,0.00019885064328183102,10.0
4804443.0,4804443.0,13658.740740740739,2.444444444444444,0.0004374714152200282,22.0
12712620.0,12712620.0,13658.740740740739,2.444444444444444,0.0004374714152200282,22.0
12711572.0,12711572.0,12572.250000000002,2.0,0.0003181610292509296,16.0
5100332.0,5100332.0,12572.250000000002,2.0,0.0003181610292509296,16.0
50300209.0,50300209.0,11289.367346938774,1.5714285714285712,0.0002187357076100141,11.0
17301727.0,17301727.0,11289.367346938774,1.5714285714285712,0.0002187357076100141,11.0
6200080.0,6200080.0,11289.367346938774,1.5714285714285712,0.0002187357076100141,11.0
11400099.0,11400099.0,11289.367346938774,1.5714285714285712,0.0002187357076100141,11.0
5300977.0,5301095.0,10776.214285714284,3.0,0.00029827596492274655,15.0
2701390.0,2701390.0,10263.061224489795,1.4285714285714286,0.00019885064328183102,10.0
5000084.0,5000084.0,10263.061224489795,1.4285714285714286,0.00019885064328183102,10.0
3300087.0,3300087.0,10244.055555555555,3.666666666666667,0.0013124142456600848,66.0
12201551.0,12201551.0,10214.953125000002,1.6250000000000002,0.00025850583626638033,13.0
1401567.0,11500440.0,9670.961538461539,2.5000000000000004,0.00039770128656366205,20.0
15800121.0,15800121.0,9493.33163265306,2.6428571428571423,0.0007357473801427747,37.0
26403522.0,26403522.0,9429.187500000002,1.5,0.00023862077193819722,12.0
3400032.0,3400032.0,9312.777777777777,1.6666666666666667,0.00029827596492274655,15.0
4802930.0,27900026.0,9236.755102040815,1.2857142857142856,0.0008948278947682396,45.0
1005079.0,1005079.0,9224.609467455623,2.3846153846153846,0.0006164369941736762,31.0
