antecedent,consequent,support,confidence,lift,leverage,count
12712095,12709273,0.00011931038596909861,1.0,50289.0,0.00011930801347439859,6
12709273,12712095,0.00011931038596909861,6.0,50289.0,0.00011930801347439859,6
11500445,11400099,0.0004971266082045775,4.999999999999999,35920.714285714275,0.0004971127686521608,25
11400099,11500445,0.0004971266082045775,3.5714285714285707,35920.714285714275,0.0004971127686521608,25
12800086,12800018,0.00011931038596909861,2.0,33526.0,0.00011930682722704858,6
12800018,12800086,0.00011931038596909861,2.0,33526.0,0.00011930682722704858,6
29501872,29501661,0.00039770128656366205,2.5000000000000004,31430.625000000007,0.0003976886332585953,20
29501661,29501872,0.00039770128656366205,5.000000000000001,31430.625000000007,0.0003976886332585953,20
18500063,18500037,0.00011931038596909861,3.0,30173.4,0.00011930643181126525,6
18500037,18500063,0.00011931038596909861,1.2,30173.4,0.00011930643181126525,6
1005053,11400584,0.0001590805146254648,2.6666666666666665,26820.8,0.00015907458338871477,8
11400584,1005053,0.0001590805146254648,1.5999999999999999,26820.8,0.00015907458338871477,8
50300160,50300160,0.0037781622223547894,9.5,23887.274999999998,0.003778004056041455,190
50300160,50300160,0.0037781622223547894,9.5,23887.274999999998,0.003778004056041455,190
4803779,4803779,0.0005567818011891269,3.5000000000000004,22001.437500000004,0.0005567564945789934,28
4803779,4803779,0.0005567818011891269,3.5000000000000004,22001.437500000004,0.0005567564945789934,28
30900350,30900350,0.00041758635089184516,3.0,21552.428571428572,0.0004175669755184617,21
30900350,30900350,0.00041758635089184516,3.0,21552.428571428572,0.0004175669755184617,21
2800149,2800048,0.0001789655789536479,3.0,21552.42857142857,0.00017895727522219786,9
28716483,28716515,0.0001789655789536479,3.0,21552.42857142857,0.00017895727522219786,9
28716515,28716483,0.0001789655789536479,1.2857142857142856,21552.42857142857,0.00017895727522219786,9
2800048,2800149,0.0001789655789536479,1.2857142857142856,21552.42857142857,0.00017895727522219786,9
12712095,12712095,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
32801103,32801103,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
12712095,12712095,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
32801103,32801103,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
12713431,12713431,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
12713431,12713431,0.00029827596492274655,2.5000000000000004,20953.75,0.00029826172995454643,15
13300870,13300870,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
19100330,19100330,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
13300870,13300870,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
21900329,17301839,0.00011931038596909861,2.0,20115.6,0.00011930445473234857,6
11500445,11500445,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
2501929,28717849,0.0001590805146254648,1.5999999999999999,20115.6,0.0001590726063097981,8
7100836,7100836,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
7100836,7100836,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
1307080,1307080,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
1307080,1307080,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
12800087,12800018,0.00011931038596909861,1.2,20115.6,0.00011930445473234857,6
26200298,26200298,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
2300244,2300244,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
26200298,26200298,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
1201378,1201378,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
1201378,1201378,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
30900023,6600508,0.00011931038596909861,2.0,20115.6,0.00011930445473234857,6
6600508,30900023,0.00011931038596909861,1.2,20115.6,0.00011930445473234857,6
19100330,19100330,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
2300244,2300244,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
5301095,5301095,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
5301095,5301095,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
8500420,8500420,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
8500420,8500420,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
12800018,12800087,0.00011931038596909861,2.0,20115.6,0.00011930445473234857,6
11500445,11500445,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
28717849,2501929,0.0001590805146254648,2.0,20115.6,0.0001590726063097981,8
4802403,4802403,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
4802403,4802403,0.00019885064328183102,2.0,20115.6,0.00019884075788724763,10
17301839,21900329,0.00011931038596909861,1.2,20115.6,0.00011930445473234857,6
34800498,34800497,0.00013919545029728172,1.1666666666666667,19556.833333333336,0.00013918833281318166,7
34800497,34800498,0.00013919545029728172,2.3333333333333335,19556.833333333336,0.00013918833281318166,7
2601433,2601433,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
18001468,18001468,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
30000056,30000056,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
21411060,21411060,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
16700049,16700049,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
21406326,21406326,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
2800444,2800444,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
