antecedent,consequent,support,confidence,lift,leverage,count
26201610,26201610,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
1307095,1307095,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
1004242,1004242,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
18001468,18001468,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
1307095,1307095,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
2601409,2601409,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
2601409,2601409,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
6500944,6500944,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
6500944,6500944,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
5100491,5100491,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
5100491,5100491,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12705181,12705181,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12705181,12705181,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
17900042,17900042,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
17900042,17900042,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
28717849,28717849,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
28717849,28717849,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
7300374,7300374,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
7300374,7300374,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
21406326,21406326,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12710400,12710400,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
2800444,2800444,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12710400,12710400,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
26201610,26201610,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12711444,12711444,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
28719643,28719643,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12700836,12700836,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12700836,12700836,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
12711444,12711444,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
16700049,16700049,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
28719643,28719643,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
21411060,21411060,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
8902247,8902247,0.00011931038596909861,1.5,18858.375000000004,0.00011930405931656523,6
